name,year,age,team,pos,uniform_number,g,gs,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_long,fg_perc,xpa,xpm,xp_perc,kickoff,kickoff_yds,kickoff_tb,kickoff_tb_pct,kickoff_yds_avg,av,awards
Dustin Hopkins,2022,32,LAC,K,4,5,0,,,2,2,6,6,2,1,,,10,9,43,90.0%,12,12,100.0%,19,1175,17,89.5%,61.8,1
Dustin Hopkins,2023,33,CLE,K,7,15,0,,,8,8,7,7,13,10,8,8,36,33,58,91.7%,26,24,92.3%,77,4890,50,64.9%,63.5,4
Dustin Hopkins,2024,34,CLE,K,7,2,0,,,,,1,1,1,1,2,2,4,4,53,100.0%,3,3,100.0%,9,583,7,77.8%,64.8,
Greg Joseph,2019,25,TEN,K,7,2,0,,,,,,,,,,,,,30,,9,9,100.0%,11,689,6,54.5%,62.6,0
Greg Joseph,2021,27,MIN,K,1,17,0,,,8,8,12,11,9,7,9,7,38,33,55,86.8%,40,36,90.0%,94,6004,76,80.9%,63.9,3
Greg Joseph,2022,28,MIN,K,1,17,0,,,10,10,5,5,8,7,10,4,33,26,61,78.8%,46,40,87.0%,89,5639,54,60.7%,63.4,2
Greg Joseph,2023,29,MIN,K,1,17,0,1,1,7,7,9,9,6,3,7,4,30,24,54,80.0%,38,36,94.7%,79,5084,61,77.2%,64.4,2
Joshua Karty,2024,22,LAR,K,16,2,0,,,2,2,,,1,1,,,3,3,41,100.0%,3,3,100.0%,,,,,,
Younghoe Koo,2019,25,ATL,K,7,8,0,,,6,6,10,9,9,7,1,1,26,23,48,88.5%,16,15,93.8%,50,3041,27,54.0%,60.8,3,
Younghoe Koo,2020,26,ATL,K,7,15,0,,,10,10,12,11,9,8,8,8,39,37,54,94.9%,36,33,91.7%,66,4160,28,42.4%,63.0,5,PB
Younghoe Koo,2021,27,ATL,K,7,17,0,,,8,8,9,9,7,6,5,4,29,27,54,93.1%,30,30,100.0%,56,3508,29,51.8%,62.6,5,
Younghoe Koo,2022,28,ATL,K,7,17,0,,,9,9,7,7,10,9,11,7,37,32,54,86.5%,35,33,94.3%,,,,,,4,
Younghoe Koo,2023,29,ATL,K,6,17,0,,,10,10,10,10,11,9,6,3,37,32,54,86.5%,28,27,96.4%,3,192,2,66.7%,64.0,3,
Younghoe Koo,2024,30,ATL,K,6,2,0,,,2,2,2,2,,,,,4,4,39,100.0%,2,2,100.0%,,,,,,,
Cam Little,2024,21,JAX,K,39,2,0,,,2,2,,,1,,1,1,4,3,53,75.0%,3,3,100.0%,8,474,6,75.0%,59.3,
Wil Lutz,2019,25,NOR,K,3,16,0,1,1,9,9,6,6,15,13,5,3,36,32,55,88.9%,49,48,98.0%,94,6082,74,78.7%,64.7,5,PB
Wil Lutz,2020,26,NOR,K,3,16,0,,,6,5,10,10,9,7,3,1,28,23,53,82.1%,58,57,98.3%,94,5929,71,75.5%,63.1,3,
Wil Lutz,2022,28,NOR,K,3,17,0,,,6,6,11,9,8,4,6,4,31,23,60,74.2%,33,33,100.0%,75,4554,48,64.0%,60.7,1,
Wil Lutz,2023,29,DEN,K,16,17,0,,,11,11,13,12,5,4,5,3,34,30,52,88.2%,31,29,93.5%,81,5123,71,87.7%,63.2,3,
Wil Lutz,2024,30,DEN,K,3,2,0,,,1,1,3,3,1,1,,,5,5,45,100.0%,1,1,100.0%,8,520,4,50.0%,65.0,,
Brett Maher,2019,30,DAL,K,2,13,0,,,9,9,8,6,5,1,8,4,30,20,63,66.7%,36,36,100.0%,69,4170,36,52.2%,60.4,0
Brett Maher,2021,32,NOR,K,19,8,0,,,4,4,9,8,4,4,1,,18,16,42,88.9%,12,10,83.3%,37,2245,18,48.6%,60.7,1
Brett Maher,2022,33,DAL,K,19,17,0,,,9,9,5,5,7,6,11,9,32,29,60,90.6%,53,50,94.3%,100,6506,78,78.0%,65.1,4
Brett Maher,2023,34,LAR,K,8,8,0,,,3,3,4,4,9,7,7,3,23,17,54,73.9%,15,13,86.7%,2,56,,,28.0,0
Chase McLaughlin,2019,23,3TM,K,,11,0,1,1,5,5,4,4,10,5,3,3,23,18,50,78.3%,26,26,100.0%,18,1064,7,38.9%,59.1,2
Chase McLaughlin,2020,24,2TM,K,,4,0,,,1,1,1,1,1,1,2,1,5,4,52,80.0%,6,5,83.3%,3,177,,,59.0,0
Chase McLaughlin,2021,25,CLE,K,3,16,0,,,3,3,4,4,10,4,4,4,21,15,57,71.4%,37,36,97.3%,69,4347,31,44.9%,63.0,2
Chase McLaughlin,2022,26,IND,K,7,16,0,,,7,7,6,5,11,9,12,9,36,30,54,83.3%,21,21,100.0%,72,4682,38,52.8%,65.0,3
